"","ID","NPGS site","variable","emission","year","value"
"1",1,"Corvallis, Oregon","bioc_5","1970","2000",27.8319988250732
"2",1,"Corvallis, Oregon","bioc_6","1970","2000",1.29199993610382
"3",1,"Corvallis, Oregon","bioc_8","1970","2000",5.67333316802979
"4",1,"Corvallis, Oregon","bioc_9","1970","2000",18.2573337554932
"5",1,"Corvallis, Oregon","bioc_10","1970","2000",18.4966659545898
"6",1,"Corvallis, Oregon","bioc_11","1970","2000",5.33866691589355
"7",1,"Corvallis, Oregon","bioc_13","1970","2000",201
"8",1,"Corvallis, Oregon","bioc_14","1970","2000",15
"9",1,"Corvallis, Oregon","bioc_16","1970","2000",555
"10",1,"Corvallis, Oregon","bioc_17","1970","2000",70
"11",1,"Corvallis, Oregon","bioc_18","1970","2000",72
"12",1,"Corvallis, Oregon","bioc_19","1970","2000",519
"13",1,"Corvallis, Oregon","bioc_5","ssp126","2021-2040",30.1000003814697
"14",1,"Corvallis, Oregon","bioc_6","ssp126","2021-2040",2.09999990463257
"15",1,"Corvallis, Oregon","bioc_8","ssp126","2021-2040",5.80000019073486
"16",1,"Corvallis, Oregon","bioc_9","ssp126","2021-2040",21.3999996185303
"17",1,"Corvallis, Oregon","bioc_10","ssp126","2021-2040",20.6000003814697
"18",1,"Corvallis, Oregon","bioc_11","ssp126","2021-2040",6.40000009536743
"19",1,"Corvallis, Oregon","bioc_13","ssp126","2021-2040",198
"20",1,"Corvallis, Oregon","bioc_14","ssp126","2021-2040",13
"21",1,"Corvallis, Oregon","bioc_16","ssp126","2021-2040",556
"22",1,"Corvallis, Oregon","bioc_17","ssp126","2021-2040",65
"23",1,"Corvallis, Oregon","bioc_18","ssp126","2021-2040",65
"24",1,"Corvallis, Oregon","bioc_19","ssp126","2021-2040",516
"25",1,"Corvallis, Oregon","bioc_5","ssp126","2041-2060",30.8999996185303
"26",1,"Corvallis, Oregon","bioc_6","ssp126","2041-2060",2.70000004768372
"27",1,"Corvallis, Oregon","bioc_8","ssp126","2041-2060",6.30000019073486
"28",1,"Corvallis, Oregon","bioc_9","ssp126","2041-2060",22.1000003814697
"29",1,"Corvallis, Oregon","bioc_10","ssp126","2041-2060",21.6000003814697
"30",1,"Corvallis, Oregon","bioc_11","ssp126","2041-2060",7.09999990463257
"31",1,"Corvallis, Oregon","bioc_13","ssp126","2041-2060",205
"32",1,"Corvallis, Oregon","bioc_14","ssp126","2041-2060",13
"33",1,"Corvallis, Oregon","bioc_16","ssp126","2041-2060",547
"34",1,"Corvallis, Oregon","bioc_17","ssp126","2041-2060",62
"35",1,"Corvallis, Oregon","bioc_18","ssp126","2041-2060",63
"36",1,"Corvallis, Oregon","bioc_19","ssp126","2041-2060",521
