"","ID","NPGS site","variable","emission","year","value"
"1",1,"Oregon, Corvallis","bioc_5","historic","1970-2000",27.8319988250732
"2",1,"Oregon, Corvallis","bioc_6","historic","1970-2000",1.29199993610382
"3",1,"Oregon, Corvallis","bioc_8","historic","1970-2000",5.67333316802979
"4",1,"Oregon, Corvallis","bioc_9","historic","1970-2000",18.2573337554932
"5",1,"Oregon, Corvallis","bioc_10","historic","1970-2000",18.4966659545898
"6",1,"Oregon, Corvallis","bioc_11","historic","1970-2000",5.33866691589355
"7",1,"Oregon, Corvallis","bioc_13","historic","1970-2000",201
"8",1,"Oregon, Corvallis","bioc_14","historic","1970-2000",15
"9",1,"Oregon, Corvallis","bioc_16","historic","1970-2000",555
"10",1,"Oregon, Corvallis","bioc_17","historic","1970-2000",70
"11",1,"Oregon, Corvallis","bioc_18","historic","1970-2000",72
"12",1,"Oregon, Corvallis","bioc_19","historic","1970-2000",519
"13",1,"Oregon, Corvallis","bioc_5","SSP126","2021-2040",29.7700002670288
"14",1,"Oregon, Corvallis","bioc_6","SSP126","2021-2040",2.31999998092651
"15",1,"Oregon, Corvallis","bioc_8","SSP126","2021-2040",5.82000002861023
"16",1,"Oregon, Corvallis","bioc_9","SSP126","2021-2040",20.9399997711182
"17",1,"Oregon, Corvallis","bioc_10","SSP126","2021-2040",20.2100002288818
"18",1,"Oregon, Corvallis","bioc_11","SSP126","2021-2040",6.4
"19",1,"Oregon, Corvallis","bioc_13","SSP126","2021-2040",205.1
"20",1,"Oregon, Corvallis","bioc_14","SSP126","2021-2040",13.6
"21",1,"Oregon, Corvallis","bioc_16","SSP126","2021-2040",565.3
"22",1,"Oregon, Corvallis","bioc_17","SSP126","2021-2040",64.3
"23",1,"Oregon, Corvallis","bioc_18","SSP126","2021-2040",65.4
"24",1,"Oregon, Corvallis","bioc_19","SSP126","2021-2040",534.1
"25",1,"Oregon, Corvallis","bioc_5","SSP126","2041-2060",30.35
"26",1,"Oregon, Corvallis","bioc_6","SSP126","2041-2060",2.75000002384186
"27",1,"Oregon, Corvallis","bioc_8","SSP126","2041-2060",6.29000000953674
"28",1,"Oregon, Corvallis","bioc_9","SSP126","2041-2060",21.5300001144409
"29",1,"Oregon, Corvallis","bioc_10","SSP126","2041-2060",20.8400001525879
"30",1,"Oregon, Corvallis","bioc_11","SSP126","2041-2060",6.8800000667572
"31",1,"Oregon, Corvallis","bioc_13","SSP126","2041-2060",210.3
"32",1,"Oregon, Corvallis","bioc_14","SSP126","2041-2060",13.7
"33",1,"Oregon, Corvallis","bioc_16","SSP126","2041-2060",571
"34",1,"Oregon, Corvallis","bioc_17","SSP126","2041-2060",63.3
"35",1,"Oregon, Corvallis","bioc_18","SSP126","2041-2060",64.9
"36",1,"Oregon, Corvallis","bioc_19","SSP126","2041-2060",538.1
"37",1,"Oregon, Corvallis","bioc_5","SSP126","2061-2080",30.4699998855591
"38",1,"Oregon, Corvallis","bioc_6","SSP126","2061-2080",2.95000002384186
"39",1,"Oregon, Corvallis","bioc_8","SSP126","2061-2080",6.4
"40",1,"Oregon, Corvallis","bioc_9","SSP126","2061-2080",21.6
"41",1,"Oregon, Corvallis","bioc_10","SSP126","2061-2080",20.9400001525879
"42",1,"Oregon, Corvallis","bioc_11","SSP126","2061-2080",7.00999999046326
"43",1,"Oregon, Corvallis","bioc_13","SSP126","2061-2080",208.7
"44",1,"Oregon, Corvallis","bioc_14","SSP126","2061-2080",13.7
"45",1,"Oregon, Corvallis","bioc_16","SSP126","2061-2080",570.3
"46",1,"Oregon, Corvallis","bioc_17","SSP126","2061-2080",64.7
"47",1,"Oregon, Corvallis","bioc_18","SSP126","2061-2080",65.7
"48",1,"Oregon, Corvallis","bioc_19","SSP126","2061-2080",541.3
"49",1,"Oregon, Corvallis","bioc_5","SSP126","2081-2100",30.4700000762939
"50",1,"Oregon, Corvallis","bioc_6","SSP126","2081-2100",2.93999998569489
"51",1,"Oregon, Corvallis","bioc_8","SSP126","2081-2100",6.38000001907349
"52",1,"Oregon, Corvallis","bioc_9","SSP126","2081-2100",21.6800001144409
"53",1,"Oregon, Corvallis","bioc_10","SSP126","2081-2100",20.95
"54",1,"Oregon, Corvallis","bioc_11","SSP126","2081-2100",7.08000001907349
"55",1,"Oregon, Corvallis","bioc_13","SSP126","2081-2100",211
"56",1,"Oregon, Corvallis","bioc_14","SSP126","2081-2100",13.6
"57",1,"Oregon, Corvallis","bioc_16","SSP126","2081-2100",574.5
"58",1,"Oregon, Corvallis","bioc_17","SSP126","2081-2100",63.4
"59",1,"Oregon, Corvallis","bioc_18","SSP126","2081-2100",64.9
"60",1,"Oregon, Corvallis","bioc_19","SSP126","2081-2100",541.4
"61",1,"Oregon, Corvallis","bioc_5","SSP245","2021-2040",29.8700004577637
"62",1,"Oregon, Corvallis","bioc_6","SSP245","2021-2040",2.24999998807907
"63",1,"Oregon, Corvallis","bioc_8","SSP245","2021-2040",5.84000000953674
"64",1,"Oregon, Corvallis","bioc_9","SSP245","2021-2040",21.039999961853
"65",1,"Oregon, Corvallis","bioc_10","SSP245","2021-2040",20.2800001144409
"66",1,"Oregon, Corvallis","bioc_11","SSP245","2021-2040",6.37000007629395
"67",1,"Oregon, Corvallis","bioc_13","SSP245","2021-2040",206.9
"68",1,"Oregon, Corvallis","bioc_14","SSP245","2021-2040",13.2
"69",1,"Oregon, Corvallis","bioc_16","SSP245","2021-2040",568.2
"70",1,"Oregon, Corvallis","bioc_17","SSP245","2021-2040",63.4
"71",1,"Oregon, Corvallis","bioc_18","SSP245","2021-2040",64.6
"72",1,"Oregon, Corvallis","bioc_19","SSP245","2021-2040",539.3
"73",1,"Oregon, Corvallis","bioc_5","SSP245","2041-2060",30.6700000762939
"74",1,"Oregon, Corvallis","bioc_6","SSP245","2041-2060",2.92999997138977
"75",1,"Oregon, Corvallis","bioc_8","SSP245","2041-2060",6.44000000953674
"76",1,"Oregon, Corvallis","bioc_9","SSP245","2041-2060",21.7700002670288
"77",1,"Oregon, Corvallis","bioc_10","SSP245","2041-2060",21.110000038147
"78",1,"Oregon, Corvallis","bioc_11","SSP245","2041-2060",7.01000003814697
"79",1,"Oregon, Corvallis","bioc_13","SSP245","2041-2060",211.3
"80",1,"Oregon, Corvallis","bioc_14","SSP245","2041-2060",13.4
"81",1,"Oregon, Corvallis","bioc_16","SSP245","2041-2060",570.3
"82",1,"Oregon, Corvallis","bioc_17","SSP245","2041-2060",62.8
"83",1,"Oregon, Corvallis","bioc_18","SSP245","2041-2060",64.7
"84",1,"Oregon, Corvallis","bioc_19","SSP245","2041-2060",544.1
"85",1,"Oregon, Corvallis","bioc_5","SSP245","2061-2080",31.339999961853
"86",1,"Oregon, Corvallis","bioc_6","SSP245","2061-2080",3.40000002384186
"87",1,"Oregon, Corvallis","bioc_8","SSP245","2061-2080",6.89000005722046
"88",1,"Oregon, Corvallis","bioc_9","SSP245","2061-2080",22.4799999237061
"89",1,"Oregon, Corvallis","bioc_10","SSP245","2061-2080",21.760000038147
"90",1,"Oregon, Corvallis","bioc_11","SSP245","2061-2080",7.52000002861023
"91",1,"Oregon, Corvallis","bioc_13","SSP245","2061-2080",211.6
"92",1,"Oregon, Corvallis","bioc_14","SSP245","2061-2080",13.4
"93",1,"Oregon, Corvallis","bioc_16","SSP245","2061-2080",580.9
"94",1,"Oregon, Corvallis","bioc_17","SSP245","2061-2080",63
"95",1,"Oregon, Corvallis","bioc_18","SSP245","2061-2080",64.6
"96",1,"Oregon, Corvallis","bioc_19","SSP245","2061-2080",547.7
"97",1,"Oregon, Corvallis","bioc_5","SSP245","2081-2100",31.7800001144409
"98",1,"Oregon, Corvallis","bioc_6","SSP245","2081-2100",3.66000001430511
"99",1,"Oregon, Corvallis","bioc_8","SSP245","2081-2100",7.13000001907349
"100",1,"Oregon, Corvallis","bioc_9","SSP245","2081-2100",22.9300001144409
"101",1,"Oregon, Corvallis","bioc_10","SSP245","2081-2100",22.2100002288818
"102",1,"Oregon, Corvallis","bioc_11","SSP245","2081-2100",7.78999991416931
"103",1,"Oregon, Corvallis","bioc_13","SSP245","2081-2100",211
"104",1,"Oregon, Corvallis","bioc_14","SSP245","2081-2100",13.6
