"","ID","NPGS site","variable","month","emission","year","value"
"1",1,"Oregon, Corvallis","tmax","January","historic","1970-2000",8.30399990081787
"2",1,"Oregon, Corvallis","tmax","February","historic","1970-2000",10.8120002746582
"3",1,"Oregon, Corvallis","tmax","March","historic","1970-2000",13.4399995803833
"4",1,"Oregon, Corvallis","tmax","April","historic","1970-2000",16.0520000457764
"5",1,"Oregon, Corvallis","tmax","May","historic","1970-2000",19.6960010528564
"6",1,"Oregon, Corvallis","tmax","June","historic","1970-2000",23.1480007171631
"7",1,"Oregon, Corvallis","tmax","July","historic","1970-2000",27.2399997711182
"8",1,"Oregon, Corvallis","tmax","August","historic","1970-2000",27.8319988250732
"9",1,"Oregon, Corvallis","tmax","September","historic","1970-2000",24.7919998168945
"10",1,"Oregon, Corvallis","tmax","October","historic","1970-2000",18.8119983673096
"11",1,"Oregon, Corvallis","tmax","November","historic","1970-2000",11.6919994354248
"12",1,"Oregon, Corvallis","tmax","December","historic","1970-2000",8.14000034332275
"13",1,"Oregon, Corvallis","tmin","January","historic","1970-2000",1.29199993610382
"14",1,"Oregon, Corvallis","tmin","February","historic","1970-2000",2.18400001525879
"15",1,"Oregon, Corvallis","tmin","March","historic","1970-2000",3.22399997711182
"16",1,"Oregon, Corvallis","tmin","April","historic","1970-2000",4.40000009536743
"17",1,"Oregon, Corvallis","tmin","May","historic","1970-2000",6.65199995040894
"18",1,"Oregon, Corvallis","tmin","June","historic","1970-2000",9.33599948883057
"19",1,"Oregon, Corvallis","tmin","July","historic","1970-2000",11.1400003433228
"20",1,"Oregon, Corvallis","tmin","August","historic","1970-2000",10.8479995727539
"21",1,"Oregon, Corvallis","tmin","September","historic","1970-2000",9.12800025939941
"22",1,"Oregon, Corvallis","tmin","October","historic","1970-2000",5.56799983978271
"23",1,"Oregon, Corvallis","tmin","November","historic","1970-2000",3.31200003623962
"24",1,"Oregon, Corvallis","tmin","December","historic","1970-2000",1.29999995231628
"25",1,"Oregon, Corvallis","prec","January","historic","1970-2000",173
"26",1,"Oregon, Corvallis","prec","February","historic","1970-2000",145
"27",1,"Oregon, Corvallis","prec","March","historic","1970-2000",118
"28",1,"Oregon, Corvallis","prec","April","historic","1970-2000",78
"29",1,"Oregon, Corvallis","prec","May","historic","1970-2000",57
"30",1,"Oregon, Corvallis","prec","June","historic","1970-2000",36
"31",1,"Oregon, Corvallis","prec","July","historic","1970-2000",15
"32",1,"Oregon, Corvallis","prec","August","historic","1970-2000",19
"33",1,"Oregon, Corvallis","prec","September","historic","1970-2000",38
"34",1,"Oregon, Corvallis","prec","October","historic","1970-2000",77
"35",1,"Oregon, Corvallis","prec","November","historic","1970-2000",181
"36",1,"Oregon, Corvallis","prec","December","historic","1970-2000",201
"37",1,"Oregon, Corvallis","tmax","January","SSP126","2021-2040",9.38999996185303
"38",1,"Oregon, Corvallis","tmax","February","SSP126","2021-2040",11.8499999046326
"39",1,"Oregon, Corvallis","tmax","March","SSP126","2021-2040",14.4400000572205
"40",1,"Oregon, Corvallis","tmax","April","SSP126","2021-2040",17.2
"41",1,"Oregon, Corvallis","tmax","May","SSP126","2021-2040",20.9200006484985
"42",1,"Oregon, Corvallis","tmax","June","SSP126","2021-2040",24.6799999237061
