NPGS site,Address,Type of site,Latitude,Longitude,Include in Crop Science Report (TRUE/FALSE),Verified Location (add name) 
"Corvallis, Oregon","National Clonal Germplasm Repository 
33447 Peoria Road 
Corvallis, Oregon 97333-2521",National Clonal Germplasm Repository,44.550974,-123.219172,TRUE,Lauri Reinhold
"Pullman, Washington","Washington State University Regional Plant Introduction Station 
59 Johnson Hall, P.O. Box 646402 
Pullman, Washington 99164-6402 ","Plant Introduction Station, Genetic stock collection",46.731993,-117.157933,TRUE,Marilyn Warburton
"Aberdeen, Idaho","National Small Grains Collection 
1691 S. 2700 W. 
Aberdeen, Idaho 83210 ","Crop collection, Genetic stock collection (2)",42.956831,-112.828712,TRUE,Harold Bockelman
"Davis, California","National Germplasm Repository 
University of California 
Straloch Road 
Davis, California 95616","National Clonal Germplasm Repository, Genetic stock collection",38.535252,-121.792212,TRUE,
"Parlier, California","National Arid Land Plant Genetic Resource Unit 
Resources Unit 
9611 S. Riverbend 
Parlier, California 93648",Specialized  (warm-season arid environment),36.595618,-119.511517,TRUE,Claire Heinitz
"Riverside, California","USDA-ARS-National Clonal Germplasm Repository Citrus Dates 
1060 Martin Luther King Blvd 
Riverside, California 92507-5437",National Clonal Germplasm Repository,33.968187,-117.335831,TRUE,Robert Krueger
"Hilo, Hawaii","USDA, ARS, PBARC, TPGRDR 
928 Stainback Highway (Physical) 
64 Nowelo Street (Mail) 
Hilo, Hawaii 96720",National Clonal Germplasm Repository,19.632848,-155.088632,TRUE,
"Fort Collins, Colorado","USDA, ARS, NCGRP 
National Center for Genetic Resources Preservation 
1111 South Mason Street 
Fort Collins, Colorado 80521-4500",National Laboratory for Genetic Resource Preservation,40.572927,-105.079192,TRUE,
"College Station, Texas","USDA, ARS 
National Germplasm Repository 
Pecan Research 
10200 FM50 
Somerville, Texas 77879 
 
USDA, ARS 
Crop Germplasm Research 
2765 F&B Road 
College Station, Texas 77845","National Clonal Germplasm Repository, Crop collection",30.458733,-96.372554,TRUE,
"Ames, Iowa","USDA, ARS 
Iowa State University 
Regional Plant Introduction Station 
G212 Agronomy Hall 
Ames, Iowa 50011-1170",Plant Introduction Station,42.028261,-93.64239,TRUE,
"Urbana, Illinois","USDA, ARS 
Soybean Germplasm Collection 
Rm 180 NSRC 
1101 West Peabody Dr. 
Urbana, Illinois 61801                 and                     
Maize Genetics Cooperation - Stock Center (GSZE) 
University of Illinois, Department of Agronomy 
S-123 Turner Hall, 1102 S. Goodwin Avenue 
Urbana, Illinois 61801-4798","Crop collection, Genetic stock collection",40.100985,-88.222566,TRUE,
"Stuttgart, Arkansas","Dale Bumpers National Rice Research Center 
2890 Hwy 130 East 
Stuttgart, Arkansas 72160",Genetic stock collection,34.47557,-91.418658,TRUE,
"Columbus, Ohio","The Ohio State University, OPGC 
Ornamental Plant Germplasm Center 
670 Vernon Tharp Street 
Columbus, Ohio 43210-1086",Crop collection,40.001748,-83.028805,TRUE,
"Sturgeon Bay, Wisconsin","USDA, ARS 
Potato Introduction Project 
4312 Hwy 42 
Sturgeon Bay, Wisconsin 54235",Crop collection,44.879609,-87.336222,TRUE,
"Griffin, Georgia","USDA, ARS 
Plant Genetic Resources Conservation Unit 
1109 Experiment Street 
Griffin, Georgia 30223-1797",Plant Introduction Station,33.262634,-84.286044,TRUE,Melanie Harrison
,"21 DUNBAR ROAD
Byron, GA 31008",Southeastern Fruit and Tree Nut Research Station,32.65697,-83.715979,,Melanie Harrison
,"Westbrook Research Farm, Ellis Rd., Griffin, GA 30223",UGA Research Farm,33.266959,-84.307017,,Melanie Harrison
,St. Croix,Germplasm Research and Introduction Unit,17.74042,-64.83395,,
,"1091 E. Curry Road, Pearce, AZ  85625",Private sector Collaborator,31.95639,-109.83865,FALSE,Jarret
,"5820 Research Way, Immokalee, FL 34132",Private sector Collaborator,31.95639,-109.83865,FALSE,Jarret
"Geneva, New York", ,"Plant Introduction Station, National Clonal Germplasm Repository",42.877041,-77.007158,TRUE,Zachary Stansell
