"GCM","bio1 (ºC)","bio12 (mm)","Delta bio1 (ºC)","Delta bio12 (mm)"
"BASELINE",11.7756417230175,744.470728965497,0,0
"MIROC.ES2L",16.4455024064286,756.988564156319,4.66986068341115,12.5178351908217
"GFDL.ESM4",15.635994482538,760.252396935388,3.86035275952046,15.7816679698909
"CNRM.CM6.1",17.0792045644116,768.497206290464,5.30356284139413,24.0264773249671
"BCC.CSM2.MR",16.9610194958624,770.032243590258,5.18537777284493,25.5615146247609
"CNRM.ESM2.1",17.1385106587525,772.318630179362,5.36286893573498,27.8479012138642
"ENSEMBLE",16.9309297020088,778.019023165609,5.15528797899129,33.5482942001117
"MIROC6",16.4214980126156,781.895316019092,4.64585628959807,37.4245870535947
"IPSL.CM6A.LR",17.5775087216676,791.655641911768,5.80186699865011,47.1849129462707
"CanESM5",19.1994185393677,793.498685859498,7.42377681635021,49.0279568940005
"MRI.ESM2.0",15.9197104364351,807.032523548332,4.1440687134176,62.5617945828346
