ID,NPGS site,Type of site,variable,emission,year,value
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,historic,1970-2000,94.83333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,historic,1970-2000,17.496665954589844
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,historic,1970-2000,5.698666572570801
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp126,2021-2040,95.66666412353516
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp245,2021-2040,93.91666412353516
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp370,2021-2040,93.16666412353516
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp585,2021-2040,96.33333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp126,2041-2060,94
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp245,2041-2060,93.5
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp370,2041-2060,95.66666412353516
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp585,2041-2060,92.33333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp126,2061-2080,94.75
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp245,2061-2080,94.5
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp370,2061-2080,92.83333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp585,2061-2080,88.83333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp126,2081-2100,97.83333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp245,2081-2100,96.5
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp370,2081-2100,92.08333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,prec,ssp585,2081-2100,92.58333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp126,2021-2040,19.25
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp245,2021-2040,19.20833396911621
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp370,2021-2040,19.33333396911621
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp585,2021-2040,19.508333206176758
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp126,2041-2060,20.09166717529297
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp245,2041-2060,20.200000762939453
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp370,2041-2060,20.25
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp585,2041-2060,20.608333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp126,2061-2080,20.308334350585938
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp245,2061-2080,20.899999618530273
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp370,2061-2080,21.358333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp585,2061-2080,22.266666412353516
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp126,2081-2100,20.383333206176758
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp245,2081-2100,21.375
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp370,2081-2100,22.766666412353516
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmax,ssp585,2081-2100,23.875
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp126,2021-2040,7.108333110809326
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp245,2021-2040,7.049999713897705
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp370,2021-2040,7.199999809265137
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp585,2021-2040,7.358333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp126,2041-2060,7.791666507720947
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp245,2041-2060,7.9583330154418945
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp370,2041-2060,8.041666984558105
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp585,2041-2060,8.225000381469727
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp126,2061-2080,8.041666984558105
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp245,2061-2080,8.641666412353516
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp370,2061-2080,9.041666984558105
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp585,2061-2080,9.608333587646484
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp126,2081-2100,8.074999809265137
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp245,2081-2100,9.041666030883789
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp370,2081-2100,10.183333396911621
