"GCM","bio1 (ºC)","bio12 (mm)","Delta bio1 (ºC)","Delta bio12 (mm)"
"BASELINE",11.7756417230175,744.470728965497,0,0
"BCC.CSM2.MR",17.4090771428946,760.719887184862,5.63343541987713,16.249158219365
"MIROC.ES2L",17.715295638272,764.83154242205,5.93965391525447,20.3608134565523
"CNRM.CM6.1",18.7510399659672,766.213444172286,6.97539824294967,21.7427152067889
"CNRM.ESM2.1",18.2722059800537,773.427219679503,6.49656425703617,28.9564907140058
"ENSEMBLE",18.3411819822613,778.551133106233,6.56554025924378,34.0804041407353
"IPSL.CM6A.LR",19.1528686633063,779.417469665591,7.37722694028885,34.9467407000933
"MIROC6",17.7136062572741,783.678650112359,5.93796453425664,39.207921146862
"MRI.ESM2.0",17.1969619246678,792.232630087121,5.4213202016503,47.7619011216236
"CanESM5",20.5184002856545,807.888221526089,8.74275856263697,63.4174925605915
