"","ID","prec_1_historic_1970-2000","prec_2_historic_1970-2000","prec_3_historic_1970-2000","prec_4_historic_1970-2000","prec_5_historic_1970-2000","prec_6_historic_1970-2000","prec_7_historic_1970-2000","prec_8_historic_1970-2000","prec_9_historic_1970-2000","prec_10_historic_1970-2000","prec_11_historic_1970-2000","prec_12_historic_1970-2000"
"1",1,173,145,118,78,57,36,15,19,38,77,181,201
"2",2,66,54,53,48,48,37,22,24,24,39,72,69
"3",3,21,19,22,20,30,25,15,14,20,21,20,19
"4",4,110,96,77,24,13,4,1,1,8,25,69,77
"5",5,57,55,56,23,9,3,0,0,7,15,34,40
"6",6,69,70,62,21,8,2,2,4,9,10,31,42
"7",7,227,226,288,251,137,122,184,197,116,187,319,297
"8",8,11,9,36,51,66,51,46,35,35,24,21,12
"9",9,81,71,70,91,125,95,53,61,121,101,82,75
"10",10,20,24,55,84,105,128,105,105,87,67,42,29
"11",11,47,47,80,97,111,101,116,102,84,71,84,71
"12",12,91,104,133,132,130,96,87,70,85,90,123,132
"13",13,57,53,73,86,102,101,107,92,75,60,79,71
"14",14,39,30,51,71,81,84,82,86,92,65,61,45
"15",15,124,123,144,110,107,99,124,104,81,76,90,114
"16",16,50,47,58,77,80,92,78,87,92,80,86,67
"17",17,83,72,97,86,114,93,109,98,100,88,91,85
"18",18,80,70,93,80,106,88,104,97,95,84,84,81
"19",19,53,49,58,72,154,245,155,207,210,155,74,36
"20",20,45,53,70,94,177,136,178,209,227,212,127,52
"21",21,47,38,39,32,32,24,14,16,19,25,51,52
"22",22,25,18,19,15,15,10,5,8,10,14,27,28
"23",23,75,76,87,131,216,180,138,176,188,193,140,102
"24",24,62,46,46,69,108,67,76,113,144,139,154,110
"25",25,19,16,12,3,2,1,3,7,7,4,7,10
"26",26,74,74,70,21,6,2,1,3,8,9,35,49
"27",27,32,48,51,56,95,88,46,60,76,70,40,36
"28",28,2,2,8,32,215,299,169,214,336,335,119,19
"29",29,32,48,51,56,95,88,46,60,76,70,40,36
"30",30,87,86,104,105,119,115,125,105,100,94,101,97
"31",31,99,97,117,112,127,109,134,106,103,102,105,106
"32",32,99,97,117,112,127,109,134,106,103,102,105,106
"33",33,27,24,51,66,89,94,86,96,102,62,55,39
"34",34,289,215,177,115,78,59,23,34,70,130,268,297
"35",35,291,213,190,139,99,70,25,39,79,130,264,300
"36",36,117,89,169,157,127,66,23,34,33,78,116,130
"37",37,183,189,268,210,156,91,120,129,114,159,227,239
"38",38,194,152,174,141,62,51,19,75,37,92,120,164
